"","Edad","Sucursal","Ingreso_Anual","Bienes","Tarjetas","Crédito","Solicitud","Sexo"
"324",24,"B",9465.21,"NO","SI","NO","SI","1"
"325",39,"C",34852.3,"NO","NO","SI","SI","0"
"326",24,"C",21268.4,"NO","SI","SI","SI","0"
"327",57,"A",50849.2,"NO","NO","SI","SI","1"
"328",27,"B",18555.9,"NO","SI","NO","NO","1"
"329",66,"A",52769.9,"SI","SI","NO","SI","1"
"330",18,"C",11601.4,"NO","SI","SI","NO","1"
"331",33,"B",29541.7,"NO","NO","NO","NO","1"
"332",48,"D",17861,"NO","SI","NO","NO","0"
"333",23,"D",21042,"NO","SI","NO","SI","1"
"334",44,"B",26688.1,"NO","NO","SI","SI","0"
"335",39,"C",26900.6,"NO","NO","SI","NO","0"
"336",65,"C",38080.9,"SI","NO","SI","NO","0"
"337",60,"D",37554.1,"SI","SI","SI","SI","0"
"338",20,"C",18184.6,"NO","SI","SI","SI","0"
"339",45,"D",28864.9,"NO","SI","NO","NO","1"
"340",66,"A",48346.1,"SI","NO","NO","SI","0"
"341",64,"C",53104.3,"SI","SI","NO","NO","0"
"342",51,"C",19416.8,"NO","SI","NO","NO","1"
"343",34,"A",23638.1,"SI","SI","NO","NO","0"
"344",65,"B",42378.2,"NO","SI","NO","SI","1"
"345",50,"A",39745.3,"SI","NO","SI","NO","0"
"346",66,"C",45189.8,"NO","NO","NO","NO","1"
"347",63,"C",37930.9,"NO","NO","SI","NO","0"
"348",53,"C",24042,"NO","SI","NO","SI","1"
"349",33,"C",31207.1,"SI","SI","SI","SI","1"
"350",38,"B",24424.3,"NO","SI","SI","NO","0"
"351",56,"A",24607.8,"NO","SI","SI","NO","1"
"352",48,"B",43057,"SI","SI","NO","SI","0"
"353",49,"D",30198.5,"SI","SI","SI","SI","1"
"354",54,"A",50186.1,"NO","SI","SI","SI","1"
"355",41,"D",22916.1,"NO","SI","NO","NO","1"
"356",19,"A",9592.73,"NO","SI","NO","SI","0"
"357",52,"C",34253.6,"SI","SI","NO","NO","1"
"358",52,"C",22792.3,"SI","NO","NO","SI","1"
"359",64,"B",51620.8,"SI","SI","NO","SI","1"
"360",56,"B",19918.9,"NO","SI","SI","NO","0"
"361",56,"B",29625.1,"NO","SI","NO","NO","0"
"362",19,"B",12549,"NO","SI","NO","NO","1"
"363",56,"B",51299.3,"SI","NO","NO","SI","1"
"364",27,"C",17364.8,"SI","NO","NO","SI","0"
"365",59,"C",29866.9,"SI","SI","NO","SI","1"
"366",56,"C",47750.2,"SI","SI","SI","NO","0"
"367",21,"B",11281.5,"NO","SI","SI","NO","0"
"368",64,"C",34073.8,"NO","NO","SI","NO","0"
"369",62,"C",46870.4,"NO","SI","NO","NO","0"
"370",44,"C",38453.7,"NO","SI","NO","SI","1"
"371",24,"C",7756.36,"NO","NO","NO","SI","1"
"372",52,"C",28413.8,"NO","SI","NO","NO","1"
"373",67,"D",47198.6,"NO","SI","NO","SI","1"
"374",41,"C",20866.3,"SI","SI","NO","NO","0"
"375",58,"B",33204.3,"NO","NO","SI","SI","1"
"376",40,"C",24823.5,"NO","SI","NO","NO","0"
"377",19,"D",17986.8,"NO","SI","SI","SI","0"
"378",20,"C",9909.82,"NO","SI","NO","NO","1"
"379",56,"B",26542.8,"SI","SI","NO","SI","1"
"380",46,"C",32583.5,"SI","SI","NO","NO","1"
"381",30,"C",14606.6,"NO","SI","NO","NO","0"
"382",40,"B",34836.8,"SI","SI","NO","SI","1"
"383",36,"B",26920.8,"NO","SI","NO","NO","1"
"384",57,"C",38248.3,"SI","SI","SI","NO","1"
"385",49,"C",15689.1,"NO","SI","NO","NO","0"
"386",61,"C",30157.7,"SI","NO","NO","SI","0"
"387",29,"C",14642.2,"SI","SI","NO","SI","0"
"388",48,"C",15933.3,"NO","NO","NO","NO","1"
"389",56,"C",44288.3,"NO","SI","NO","NO","1"
"390",40,"B",22197.1,"SI","SI","NO","SI","0"
"391",58,"B",38248.3,"SI","NO","NO","NO","1"
"392",60,"C",22053.2,"SI","NO","SI","NO","1"
"393",58,"D",25468.5,"SI","NO","SI","SI","1"
"394",67,"B",23485.9,"SI","NO","SI","NO","1"
"395",40,"A",25768.6,"SI","NO","NO","NO","0"
"396",48,"C",34182.2,"NO","SI","NO","SI","0"
"397",64,"C",57444.5,"NO","SI","NO","SI","1"
"398",43,"B",38059.8,"SI","NO","SI","NO","0"
"399",34,"A",19481.3,"NO","SI","SI","SI","1"
"400",26,"A",19563.8,"SI","NO","SI","NO","0"
"401",48,"C",38598.4,"SI","SI","NO","NO","0"
"402",35,"C",20754.3,"NO","NO","SI","SI","0"
"403",24,"C",13864.6,"NO","SI","NO","SI","1"
"404",47,"D",36599,"SI","SI","NO","SI","0"
"405",52,"D",45856.1,"NO","SI","NO","SI","0"
"406",31,"D",22362.3,"NO","SI","NO","SI","0"
"407",41,"D",21984,"SI","NO","NO","SI","1"
"408",23,"D",11073,"NO","NO","NO","NO","0"
"409",27,"C",18158.5,"SI","SI","SI","SI","1"
"410",22,"C",7304.2,"SI","SI","SI","NO","0"
"411",67,"C",58092,"SI","SI","NO","SI","1"
"412",26,"C",16518.6,"SI","SI","NO","SI","1"
"413",58,"D",46461.5,"NO","SI","NO","NO","1"
"414",27,"A",20058.7,"NO","SI","SI","NO","0"
"415",36,"C",12533.2,"NO","NO","SI","NO","0"
"416",31,"A",22848.5,"SI","NO","NO","SI","0"
"417",28,"B",25699.4,"SI","NO","NO","SI","1"
"418",57,"B",21612.6,"NO","SI","SI","NO","0"
"419",64,"C",48950.9,"SI","SI","SI","NO","0"
"420",49,"C",41438,"NO","NO","NO","SI","0"
"421",22,"C",11411,"SI","SI","NO","NO","0"
"422",58,"C",43940.6,"SI","SI","NO","NO","1"
"423",20,"B",17239.5,"SI","SI","NO","SI","0"
"424",44,"A",30488.7,"NO","SI","NO","NO","1"
"425",65,"B",29866.3,"NO","NO","NO","NO","1"
"426",53,"C",32184.4,"SI","NO","NO","SI","1"
"427",34,"C",17308.7,"SI","SI","SI","SI","1"
"428",35,"A",27863.9,"NO","SI","SI","NO","0"
"429",48,"B",28920.6,"NO","NO","SI","NO","0"
"430",64,"B",58367.3,"SI","SI","NO","SI","1"
"431",46,"B",16849.3,"SI","SI","SI","NO","0"
"432",42,"A",28138.5,"NO","SI","SI","SI","1"
"433",47,"C",23038.2,"SI","NO","NO","NO","0"
"434",23,"B",11736.9,"SI","SI","SI","NO","0"
"435",35,"C",16479.5,"SI","NO","SI","SI","0"
"436",64,"C",31415.7,"SI","NO","SI","SI","1"
"437",18,"D",12117.3,"NO","SI","NO","NO","1"
"438",19,"C",15417.1,"SI","SI","NO","NO","0"
"439",40,"C",29414.6,"NO","NO","SI","SI","0"
"440",47,"C",44682.1,"SI","SI","NO","NO","0"
"441",43,"A",36281,"SI","SI","NO","NO","1"
"442",38,"B",33302.8,"SI","SI","SI","SI","0"
"443",21,"A",15797.1,"NO","SI","NO","SI","1"
"444",40,"A",31864.8,"SI","SI","NO","NO","0"
"445",52,"B",43719.5,"NO","SI","NO","NO","1"
"446",35,"B",30799.5,"NO","SI","NO","SI","1"
"447",53,"A",48971.6,"SI","NO","NO","SI","0"
"448",38,"A",34061.4,"SI","SI","NO","SI","1"
"449",42,"C",28938.6,"SI","NO","NO","NO","0"
"450",43,"B",38540,"SI","NO","SI","NO","0"
"451",59,"C",27045.1,"NO","SI","NO","SI","1"
"452",59,"A",51284.3,"SI","SI","SI","NO","1"
"453",24,"C",16352.2,"NO","SI","SI","NO","0"
"454",27,"C",11866.4,"SI","SI","NO","NO","1"
"455",32,"B",13267.6,"SI","SI","SI","NO","1"
"456",65,"C",61554.6,"NO","SI","NO","NO","1"
"457",18,"D",13700.2,"NO","SI","NO","NO","0"
"458",66,"B",46963.9,"NO","SI","NO","SI","0"
"459",41,"C",23475.6,"SI","SI","SI","SI","0"
"460",64,"D",24554.1,"SI","NO","SI","NO","1"
"461",23,"C",18050,"SI","SI","SI","SI","1"
"462",29,"A",15237.6,"SI","SI","NO","NO","1"
"463",28,"B",20555,"SI","SI","NO","SI","0"
"464",57,"B",28421.7,"SI","SI","SI","NO","1"
"465",38,"C",21876.5,"NO","SI","NO","NO","0"
"466",34,"D",12810.2,"NO","SI","NO","SI","1"
"467",43,"D",15109.4,"NO","SI","NO","SI","0"
"468",63,"B",37414.7,"SI","SI","NO","NO","0"
"469",62,"C",41521.6,"NO","SI","SI","NO","1"
"470",51,"C",25372.8,"SI","SI","NO","NO","1"
"471",61,"C",21139.8,"SI","NO","NO","NO","0"
"472",41,"B",27757.6,"NO","SI","NO","SI","1"
"473",31,"B",22678.1,"SI","SI","SI","SI","1"
"474",33,"B",12178.5,"NO","SI","SI","NO","1"
"475",43,"A",26106.7,"NO","SI","NO","SI","0"
"476",40,"C",27417.6,"NO","SI","SI","NO","0"
"477",47,"B",23337.2,"NO","SI","SI","NO","0"
"478",46,"B",43395.5,"SI","SI","NO","SI","0"
"479",30,"A",11536.2,"NO","SI","SI","NO","0"
"480",47,"C",44658.6,"SI","SI","NO","SI","0"
"481",44,"A",32762.5,"NO","SI","SI","NO","0"
"482",23,"A",16403.8,"SI","NO","NO","NO","0"
